时间t(s),质量矩阵最小特征值min_eig_M
134.2,501.4371378
134.4,515.7342453
134.6,537.5559057
134.8,565.0212435
135,595.2425533
135.2,624.5595112
135.4,649.0757216
135.6,665.3342078
135.8,670.9403512
136,665.0098924
136.2,648.3763498
136.4,623.488561
136.6,593.9468367
136.8,563.7564862
137,536.5516864
137.2,515.0816029
137.4,501.0910552
137.6,495.4989367
137.8,498.6447211
138,510.3936803
138.2,530.0225145
138.4,555.9741852
138.6,585.6899425
138.8,615.7197199
139,642.1686748
139.2,661.357824
139.4,670.4936289
139.6,668.1853915
139.8,654.7279904
140,632.0927736
140.2,603.5739086
140.4,573.1221432
140.6,544.5605942
140.8,520.9696496
141,504.4343254
141.2,496.1325593
141.4,496.571737
141.6,505.7508881
141.8,523.1230606
142,547.3894003
142.2,576.2953825
142.4,606.6404226
142.6,634.6149489
142.8,656.404008
143,668.8731215
143.2,670.1528106
143.4,660.0087033
143.6,639.9276807
143.8,612.8609855
144,582.6300301
144.2,553.1509872
144.4,527.7540036
144.6,508.8266607
144.8,497.8177455
145,495.4458391
145.2,501.8890294
145.4,516.799459
145.6,539.1318164
145.8,566.9226605
146,597.2282012
146.2,626.367759
146.4,650.4599443
