时间t(s),弹簧瞬时长度l(m),滑移量xi(m)
80,0.4586213229,0.006663822876
80.2,0.4768701732,0.0249126732
80.4,0.492180567,0.04022306696
80.6,0.502687788,0.05073028799
80.8,0.5071400446,0.05518254458
81,0.5050395577,0.05308205768
81.2,0.4966868751,0.04472937512
81.4,0.4831348552,0.03117735518
81.6,0.4660514285,0.01409392853
81.8,0.4474956852,-0.004461814775
82,0.4296383257,-0.02231917433
82.2,0.4144871664,-0.03747033363
82.4,0.4036803435,-0.04827715647
82.6,0.3983702693,-0.05358723069
82.8,0.399165239,-0.05279226101
83,0.4060739948,-0.04588350524
83.2,0.4184396589,-0.03351784108
83.4,0.4349174197,-0.01704008034
83.6,0.4535728186,0.001615318624
83.8,0.4721254323,0.0201679323
84,0.4882834493,0.03632594928
84.2,0.5000752555,0.04811775545
84.4,0.5061043213,0.0541468213
84.6,0.5057017447,0.05374424474
84.8,0.4989846752,0.04702717515
85,0.4868311037,0.03487360372
85.2,0.4707668312,0.01880933118
85.4,0.4527584661,0.0008009660941
85.6,0.4349335189,-0.01702398113
85.8,0.4192899065,-0.0326675935
86,0.4074744373,-0.04448306274
86.2,0.4006748757,-0.05128262431
86.4,0.3995970842,-0.05236041581
86.6,0.4044462783,-0.04751122173
86.8,0.414857058,-0.03710044204
87,0.4298086102,-0.02214888984
87.2,0.4476302164,-0.004327283557
87.4,0.4661734096,0.01421590965
87.6,0.4831279025,0.03117040248
87.8,0.4963810504,0.04442355041
88,0.5043187076,0.05236120755
88.2,0.5060171458,0.05405964576
88.4,0.5013281341,0.04937063413
88.6,0.4908778433,0.03892034326
88.8,0.4759868388,0.02402933882
89,0.4585018594,0.006544359384
89.2,0.4405400359,-0.01141746407
89.4,0.4241856577,-0.02777184226
89.6,0.4112176484,-0.04073985164
89.8,0.4029420626,-0.04901543738
90,0.4001460374,-0.05181146263
90.2,0.4031146407,-0.04884285934
90.4,0.4116259035,-0.04033159651
90.6,0.4248964467,-0.02706105326
90.8,0.4415430582,-0.0104144418
91,0.4596601096,0.00770260956
91.2,0.4770515096,0.02509400956
91.4,0.491560388,0.03960288795
91.6,0.5013937079,0.04943620791
91.8,0.5053630254,0.0534055254
92,0.5030162501,0.05105875007
92.2,0.4946719112,0.04271441124
92.4,0.4813708822,0.02941338219
92.6,0.4647465483,0.01278904826
92.8,0.4468113877,-0.005146112302
93,0.4296809928,-0.02227650723
93.2,0.4152918428,-0.03666565717
93.4,0.4051830684,-0.04677443165
93.6,0.4003821914,-0.0515753086
93.8,0.401374969,-0.050582531
94,0.4080984169,-0.04385908308
94.2,0.4199154869,-0.03204201311
94.4,0.4355962944,-0.01636120564
94.6,0.4533778522,0.001420352232
94.8,0.471150817,0.01919331699
95,0.4867494213,0.03479192127
95.2,0.4982657478,0.04630824782
95.4,0.5043098184,0.05235231842
95.6,0.5041757173,0.05221821729
95.8,0.4979111993,0.04595369931
96,0.4863004533,0.03434295329
96.2,0.4707628901,0.01880539005
96.4,0.4531679742,0.001210474202
96.6,0.435583585,-0.016373915
96.8,0.4200056563,-0.03195184368
97,0.408132215,-0.043825285
97.2,0.4012224264,-0.05073507364
97.4,0.4000293777,-0.05192812226
97.6,0.4047562861,-0.04720121388
97.8,0.4150006152,-0.03695688483
98,0.4297112528,-0.02224624723
98.2,0.4472297185,-0.004727781479
98.4,0.4654657835,0.01350828347
98.6,0.4821871319,0.03022963188
98.8,0.4953449323,0.04338743231
99,0.5033533354,0.05139583542
99.2,0.5052786151,0.05332111513
99.4,0.5009333948,0.04897589476
99.6,0.4908857413,0.03892824126
99.8,0.4763844449,0.02442694492
100,0.4591947225,0.007237222524
100.2,0.4413543817,-0.01060311831
100.4,0.4248958018,-0.02706169817
100.6,0.4116044228,-0.04035307724
100.8,0.4028683393,-0.04908916069
101,0.3996154623,-0.05234203775
101.2,0.4022776658,-0.04967983423
101.4,0.410722814,-0.04123468598
101.6,0.4241659398,-0.02779156024
101.8,0.4411451388,-0.01081236122
102,0.4596463942,0.007688894242
102.2,0.4773815139,0.0254240139
102.4,0.492139252,0.04018175201
102.6,0.5021070406,0.05014954056
102.8,0.5060986419,0.05414114189
103,0.5036760631,0.0517185631
103.2,0.4951816498,0.04322414978
103.4,0.4816901513,0.02973265125
103.6,0.4648733559,0.01291585589
103.8,0.4467727411,-0.005184758873
104,0.429509109,-0.02244839103
104.2,0.414999108,-0.03695839202
104.4,0.4047563845,-0.04720111551
104.6,0.3998087496,-0.05214875041
104.8,0.4006880726,-0.05126942742
105,0.4074103918,-0.04454710816
105.2,0.4194066052,-0.03255089483
105.4,0.4354577685,-0.01649973152
105.6,0.4537395387,0.001782038705
105.8,0.4720320835,0.02007458346
106,0.4880520986,0.03609459862
106.2,0.4998023593,0.04784485929
106.4,0.5058475224,0.05389002242
106.6,0.5054794343,0.05352193433
