时间t(s),相对位移u=zo-zf(m),相对角phi=thetao-thetaf(rad),直线PTO功率Pl(W),旋转PTO功率Ptheta(W)
42.8,-0.04916141859,0.002398658593,32.06447221,0.02417744133
43,-0.03506073562,0.001326716789,68.85005845,0.03251089836
43.2,-0.01663213166,0.0001597794057,98.90324094,0.03435326384
43.4,0.003919451252,-0.0009759263057,108.1087885,0.02911109957
43.6,0.02411624696,-0.00196121086,92.0178296,0.01913030723
43.8,0.04150875032,-0.002696870863,58.07782211,0.008555042931
44,0.05397515635,-0.003114144226,22.2420094,0.001491757296
44.2,0.05998222281,-0.003181532083,1.506067286,0.0002920883946
44.4,0.05877521434,-0.002907275958,5.87678135,0.004679939312
44.6,0.05047322091,-0.00233728466,33.58202994,0.01205046436
44.8,0.03605775892,-0.001548829297,71.82197943,0.01874669909
45,0.01725571808,-0.0006408065028,102.7443041,0.02170580373
45.2,-0.003669226767,0.000278246203,111.8427052,0.01973794179
45.4,-0.02419129167,0.001102956311,94.81311148,0.01390127924
45.6,-0.04182971339,0.001743242448,59.6169023,0.006863813098
45.8,-0.05445067289,0.002134360633,22.7616915,0.001597452868
46,-0.06052698828,0.002243733545,1.546040097,2.822750903e-05
46.2,-0.05932376588,0.00207381877,5.925667565,0.00225171864
46.4,-0.05098733525,0.001660747924,33.83781833,0.006634197363
46.6,-0.03652671286,0.001068971129,72.18380967,0.01069977915
46.8,-0.01769005537,0.0003826111489,102.9960972,0.01234889648
47,0.003248562764,-0.0003053863754,111.8738152,0.01082335323
47.2,0.02376577188,-0.0009049700229,94.71357856,0.006979282178
47.4,0.04139498997,-0.001340141165,59.58301411,0.002773689857
47.6,0.05402456505,-0.001558209051,22.88495484,0.0002457652617
47.8,0.0601517237,-0.001536038114,1.646260767,0.000503943557
48,0.05906165586,-0.001282554185,5.569312667,0.003209836674
48.2,0.05091037087,-0.0008372329623,32.56552501,0.006796295432
48.4,0.03670181376,-0.000264781766,69.82691821,0.009294832628
48.6,0.01816266139,0.0003533138882,99.88241147,0.009352275166
48.8,-0.00246936947,0.0009293288382,108.7635755,0.0069285982
49,-0.02271748919,0.001380620335,92.45352045,0.003327845451
49.2,-0.04016476558,0.001640337321,58.63930712,0.0005434720988
49.4,-0.05274372162,0.001666194034,23.01265297,0.0002389111395
49.6,-0.05898175718,0.001446217806,1.908305465,0.002869155018
49.8,-0.0581732146,0.001000745372,4.744099395,0.007388555955
50,-0.05045804509,0.0003803948361,29.7663595,0.01171011046
50.2,-0.03679849403,-0.0003397722698,65.01806089,0.01371432131
50.4,-0.01885758973,-0.001069220696,93.99957042,0.01232752625
50.6,0.001205016251,-0.001712980125,103.3327423,0.00813719992
50.8,0.02099456222,-0.002183430475,88.86226372,0.003216715391
51,0.03816816657,-0.002411408839,57.41351787,0.0002034603966
51.2,0.05071275086,-0.002355280045,23.47775532,0.001039088593
51.4,0.05718086161,-0.002006842652,2.441182804,0.005964100032
51.6,0.05685680057,-0.001393308448,3.5288655,0.01326668661
51.8,0.04983413816,-0.0005750537477,25.70029453,0.01995110898
52,0.03699648281,0.0003606589267,58.31446812,0.02306258489
52.2,0.01990498575,0.001309308686,86.16289688,0.02108176845
52.4,0.0006070780834,0.002161007762,96.48343133,0.01473853013
52.6,-0.0186099361,0.002813289162,84.71766151,0.006832101729
52.8,-0.03549062399,0.003183299587,56.41979012,0.001084628302
53,-0.04807614135,0.003217957232,24.53414666,0.0005023821141
53.2,-0.054930865,0.002900853937,3.379544552,0.005967693466
53.4,-0.05530482982,0.002255045947,2.14032413,0.01571331517
53.6,-0.04921379669,0.001341345709,20.82064974,0.02595997431
53.8,-0.03742871668,0.0002522449189,50.43386884,0.03248494792
54,-0.02137709127,-0.0008978935485,77.2436999,0.03246176903
54.2,-0.002968986539,-0.00198529913,89.05166965,0.02576426144
54.4,0.01563095039,-0.002890519436,80.65312323,0.01513692261
54.6,0.03225817248,-0.003511856324,56.02879232,0.00511554397
54.8,0.04499963884,-0.003776978607,26.36461673,0.0001298450066
55,0.05241282828,-0.00365137294,4.885360414,0.002592190071
55.2,0.05368745614,-0.003142644671,0.8898195379,0.01180404394
55.4,0.04873200948,-0.002300146167,15.67355789,0.0241748228
55.6,0.03817617491,-0.001209938374,42.11627851,0.03468715415
55.8,0.02329006292,1.437833151e-05,68.03327556,0.03900032657
56,0.005830686803,0.001243956427,81.71159156,0.03529762056
56.2,-0.01216565844,0.002348750734,77.1177564,0.02508178147
56.4,-0.02862055909,0.003211755248,56.46975505,0.01256759148
56.6,-0.0416526244,0.003741831835,29.08969636,0.002921030459
56.8,-0.04979123162,0.003883691144,7.12714189,9.109213165e-05
57,-0.05214079884,0.003623905982,0.1148641326,0.005157019554
57.2,-0.04847748974,0.002992284757,10.79107285,0.01589313205
57.4,-0.03926818922,0.002058456508,34.00920296,0.02773081771
57.6,-0.02561054722,0.0009240595492,59.15475401,0.0356991527
